service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
63501,1,1,1,1,1,0,0,20201210,20201219
63502,1,1,1,1,0,0,0,20201210,20201219
63503,0,1,1,1,1,0,0,20201210,20201219
63504,0,1,1,1,1,0,0,20201210,20201219
63505,0,0,0,0,1,0,0,20201210,20201219
63506,0,0,0,0,0,1,0,20201210,20201219
63507,0,0,0,0,0,1,0,20201210,20201219
63508,0,0,0,0,0,0,1,20201210,20201219
63509,0,0,0,0,0,0,1,20201210,20201219
63510,0,0,1,1,1,1,0,20201210,20201219
63511,0,1,1,1,1,1,0,20201210,20201219
63512,0,1,1,1,1,1,0,20201210,20201219
63513,1,0,0,0,0,0,0,20201210,20201219
63514,1,0,0,0,0,0,0,20201210,20201219
63515,1,0,0,0,0,0,0,20201210,20201219
63516,0,1,0,0,0,0,0,20201210,20201219
63517,0,1,0,0,0,0,0,20201210,20201219
63518,1,0,1,1,1,0,0,20201210,20201219
63519,1,0,1,1,1,0,0,20201210,20201219
63520,0,0,1,0,0,0,0,20201210,20201219
63521,0,0,1,0,0,0,0,20201210,20201219
63522,1,1,0,1,1,0,0,20201210,20201219
63523,1,1,0,1,1,0,0,20201210,20201219
63524,0,0,0,1,0,0,0,20201210,20201219
63525,0,0,0,1,0,0,0,20201210,20201219
63526,1,1,1,0,1,0,0,20201210,20201219
63527,1,1,1,0,1,0,0,20201210,20201219
63528,0,1,1,0,0,0,0,20201210,20201219
63529,0,1,1,0,0,0,0,20201210,20201219
63530,1,0,0,1,1,0,0,20201210,20201219
63531,1,0,0,1,1,0,0,20201210,20201219
63532,1,1,0,0,1,0,0,20201210,20201219
63533,1,1,0,0,1,0,0,20201210,20201219
63534,1,1,1,1,1,0,1,20201210,20201219
63535,1,1,1,1,1,0,1,20201210,20201219
63536,1,1,1,1,1,1,0,20201210,20201219
63537,1,1,1,1,1,1,0,20201210,20201219
63538,1,1,1,1,1,1,0,20201210,20201219
63539,1,1,1,1,1,0,0,20201210,20201219
63540,1,1,1,1,0,0,1,20201210,20201219
63541,0,1,1,0,1,0,0,20201210,20201219
63542,0,1,1,0,1,0,0,20201210,20201219
63601,1,1,1,1,1,0,0,20201220,20210228
63602,1,1,1,1,0,0,0,20201220,20210228
63603,0,1,1,1,1,0,0,20201220,20210228
63604,0,1,1,1,1,0,0,20201220,20210228
63605,0,0,0,0,1,0,0,20201220,20210228
63606,0,0,0,0,0,1,0,20201220,20210228
63607,0,0,0,0,0,1,0,20201220,20210228
63608,0,0,0,0,0,0,1,20201220,20210228
63609,0,0,0,0,0,0,1,20201220,20210228
63610,0,0,1,1,1,1,0,20201220,20210228
63611,0,1,1,1,1,1,0,20201220,20210228
63612,0,1,1,1,1,1,0,20201220,20210228
63613,1,0,0,0,0,0,0,20201220,20210228
63614,1,0,0,0,0,0,0,20201220,20210228
63615,1,0,0,0,0,0,0,20201220,20210228
63616,0,1,0,0,0,0,0,20201220,20210228
63617,0,1,0,0,0,0,0,20201220,20210228
63618,1,0,1,1,1,0,0,20201220,20210228
63619,1,0,1,1,1,0,0,20201220,20210228
63620,0,0,1,0,0,0,0,20201220,20210228
63621,0,0,1,0,0,0,0,20201220,20210228
63622,1,1,0,1,1,0,0,20201220,20210228
63623,1,1,0,1,1,0,0,20201220,20210228
63624,0,0,0,1,0,0,0,20201220,20210228
63625,0,0,0,1,0,0,0,20201220,20210228
63626,1,1,1,0,1,0,0,20201220,20210228
63627,1,1,1,0,1,0,0,20201220,20210228
63628,0,1,1,0,0,0,0,20201220,20210228
63629,0,1,1,0,0,0,0,20201220,20210228
63630,1,0,0,1,1,0,0,20201220,20210228
63631,1,0,0,1,1,0,0,20201220,20210228
63632,1,1,0,0,1,0,0,20201220,20210228
63633,1,1,0,0,1,0,0,20201220,20210228
63634,1,1,1,1,1,0,1,20201220,20210228
63635,1,1,1,1,1,0,1,20201220,20210228
63636,1,1,1,1,1,1,0,20201220,20210228
63637,1,1,1,1,1,1,0,20201220,20210228
63638,1,1,1,1,1,1,0,20201220,20210228
63639,1,1,1,1,1,0,0,20201220,20210228
63640,1,1,1,1,0,0,1,20201220,20210228
63641,0,1,1,0,1,0,0,20201220,20210228
