Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Is_Approaching,Is_Scheduled,Is_Delayed,Is_Fault
40330,30065,Grand,95th/Dan Ryan,Red,809,2023-04-21T10:25:05,2023-04-21T10:26:05,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,809,2023-04-21T10:25:57,2023-04-21T10:26:57,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,809,2023-04-21T10:25:57,2023-04-21T10:26:57,1,0,0,0
41360,30265,California,Ashland/63rd,G,2,2023-04-21T10:26:34,2023-04-21T10:27:34,1,0,0,0
40840,30164,South Boulevard,Loop,P,506,2023-04-21T10:26:26,2023-04-21T10:27:26,1,0,0,0
41130,30215,Halsted,Loop,Org,706,2023-04-21T10:26:57,2023-04-21T10:27:57,1,0,0,0
41360,30265,California,Ashland/63rd,G,2,2023-04-21T10:27:35,2023-04-21T10:28:35,1,0,0,0
41130,30215,Halsted,Loop,Org,706,2023-04-21T10:27:29,2023-04-21T10:28:29,1,0,0,0
41360,30265,California,Ashland/63rd,G,2,2023-04-21T10:27:35,2023-04-21T10:28:35,1,0,0,0
41360,30266,California,Harlem/Lake,G,607,2023-04-21T10:27:43,2023-04-21T10:28:43,1,0,0,0
41360,30266,California,Harlem/Lake,G,607,2023-04-21T10:28:11,2023-04-21T10:29:11,1,0,0,0
41360,30266,California,Harlem/Lake,G,607,2023-04-21T10:28:44,2023-04-21T10:29:44,1,0,0,0
41440,30278,Addison,Loop,Brn,403,2023-04-21T10:28:54,2023-04-21T10:29:54,1,0,0,0
41360,30266,California,Harlem/Lake,G,607,2023-04-21T10:28:44,2023-04-21T10:29:44,1,0,0,0
40330,30064,Grand,Howard,Red,906,2023-04-21T10:30:34,2023-04-21T10:31:34,1,0,0,0
41020,30197,Logan Square,O'Hare,Blue,117,2023-04-21T10:30:55,2023-04-21T10:31:55,1,0,0,0
40330,30064,Grand,Howard,Red,906,2023-04-21T10:30:59,2023-04-21T10:31:59,1,0,0,0
41020,30197,Logan Square,O'Hare,Blue,117,2023-04-21T10:31:39,2023-04-21T10:32:39,1,0,0,0
40330,30064,Grand,Howard,Red,906,2023-04-21T10:30:59,2023-04-21T10:31:59,1,0,0,0
41020,30197,Logan Square,O'Hare,Blue,117,2023-04-21T10:32:01,2023-04-21T10:33:01,1,0,0,0
40330,30064,Grand,Howard,Red,906,2023-04-21T10:30:59,2023-04-21T10:31:59,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,591,2023-04-21T10:32:01,2023-04-21T10:33:01,1,0,0,0
41020,30197,Logan Square,O'Hare,Blue,117,2023-04-21T10:32:24,2023-04-21T10:33:24,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,591,2023-04-21T10:32:42,2023-04-21T10:33:42,1,0,0,0
41020,30197,Logan Square,O'Hare,Blue,117,2023-04-21T10:32:24,2023-04-21T10:33:24,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,904,2023-04-21T10:34:01,2023-04-21T10:35:01,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,904,2023-04-21T10:34:52,2023-04-21T10:35:52,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-21T10:34:52,2023-04-21T10:35:52,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,904,2023-04-21T10:34:52,2023-04-21T10:35:52,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-21T10:35:26,2023-04-21T10:36:26,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,904,2023-04-21T10:34:52,2023-04-21T10:35:52,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,904,2023-04-21T10:34:52,2023-04-21T10:35:52,1,0,0,0
41030,30199,Polk,Loop,Pink,305,2023-04-21T10:36:39,2023-04-21T10:37:39,1,0,0,0
41030,30199,Polk,Loop,Pink,305,2023-04-21T10:36:58,2023-04-21T10:37:58,1,0,0,0
41020,30198,Logan Square,Forest Park,Blue,209,2023-04-21T10:37:35,2023-04-21T10:38:35,1,0,0,0
40330,30064,Grand,Howard,Red,813,2023-04-21T10:37:37,2023-04-21T10:38:37,1,0,0,0
